Problem;NV;Distance;Authors
C101.25;3;191.3;KDMSS
C101.50;5;362.4;KDMSS
C102.25;10;828.94;RT
C102.50;10;828.06;RT
C103.25;10;828.94;RT
C103.50;10;828.06;RT
C104.25;10;828.94;RT
C104.50;10;828.06;RT
C105.25;10;828.94;RT
C105.50;10;828.06;RT
C106.25;10;828.94;RT
C106.50;10;828.06;RT
C107.25;10;828.94;RT
C107.50;10;828.06;RT
C108.25;10;828.94;RT
C108.50;10;828.06;RT
C109.25;10;828.94;RT
C109.50;10;828.06;RT
C201.25;10;828.94;RT
C201.50;10;828.06;RT
C202.25;10;828.94;RT
C202.50;10;828.06;RT
C203.25;10;828.94;RT
C203.50;10;828.06;RT
C204.25;10;828.94;RT
C204.50;10;828.06;RT
C205.25;10;828.94;RT
C205.50;10;828.06;RT
C206.25;10;828.94;RT
C206.50;10;828.06;RT
C207.25;10;828.94;RT
C207.50;10;828.06;RT
C208.25;10;828.94;RT
C208.50;10;828.06;RT
R101.25;10;828.94;RT
R101.50;10;828.06;RT
R102.25;10;828.94;RT
R102.50;10;828.06;RT
R103.25;10;828.94;RT
R103.50;10;828.06;RT
R104.25;10;828.94;RT
R104.50;10;828.94;RT
R105.25;10;828.94;RT
R105.50;10;828.94;RT
R106.25;3;591.56;RT
R106.50;3;591.17;RT
R107.25;3;588.88;RT
R107.50;3;588.49;RT
R108.25;3;588.32;RT
R108.50;19;1650.80;H
R109.25;13;1292.68;LLH
R109.50;9;1007.31;MBD
R110.25;12;1252.03;MBD
R110.50;10;1104.66;S97
R111.25;11;1194.73;HG
R111.50;10;1118.84;MBD
R112.25;9;982.14;GTA
R112.50;4;1252.37;HG
R201.25;3;939.50;WL
R201.50;2;825.52;BVH
R202.25;3;906.14;SSSD
R202.50;2;890.61;RP
R203.25;3;909.16;H
R203.50;3;939.37;MBD
R204.25;14;1696.95;TBGGP
R204.50;12;1554.75;TBGGP
R205.25;10;1135.48;CLM
R205.50;13;1629.44;BBB
R206.25;11;1230.48;S97
R206.50;10;1139.82;TBGGP
R207.25;3;1365.65;GCC
R207.50;3;1049.62;CC
R208.25;4;1297.65;MBD
R208.50;3;1146.32;H
R209.25;3;828.14;IKMUY
R209.50;4;600.6;IV+C
R210.25;3;404.6;CR+KLM
R210.50;4;645.6;IV+C
R211.25;2;350.9;KLM
R211.50;3;535.5;IV+DLP
RC101.25;4;461.1;KDMSS
RC101.50;8;944;KDMSS
RC102.25;3;351.8;KDMSS
RC102.50;7;822.5;KDMSS
RC103.25;3;332.8;KDMSS
RC103.50;6;710.9;KDMSS
RC104.25;3;306.6;KDMSS
RC104.50;5;545.8;KDMSS
RC105.25;4;411.3;KDMSS
RC105.50;8;855.3;KDMSS
RC106.25;3;345.5;KDMSS
RC106.50;6;723.2;KDMSS
RC107.25;3;298.3;KDMSS
RC107.50;6;642.7;KDMSS
RC108.25;3;294.5;KDMSS
RC108.50;6;598.1;KDMSS
RC201.25;3;360.2;CR+L
RC201.50;5;684.8;L+KLM
RC202.25;3;338.0;CR+KLM
RC202.50;5;613.6;IV+C
RC203.25;3;326.9;IV+C
RC203.50;4;555.3;IV+C
RC204.25;3;299.7;C
RC204.50;3;444.2;DLP
RC205.25;3;338.0;L+KLM
RC205.50;5;630.2;IV+C
RC206.25;3;324.0;KLM
RC206.50;5;610.0;IV+C
RC207.25;3;298.3;KLM
RC207.50;4;558.6;C
RC208.25;2;269.1;C
RC208.50;3;476.7;S
C101.100;10;828.94;RT
C102.100;10;828.94;RT
C103.100;10;828.06;RT
C104.100;10;824.78;RT
C105.100;10;828.94;RT
C106.100;10;828.94;RT
C107.100;10;828.94;RT
C108.100;10;828.94;RT
C109.100;10;828.94;RT
C201.100;3;591.56;RT
C202.100;3;591.56;RT
C203.100;3;591.17;RT
C204.100;3;590.60;RT
C205.100;3;588.88;RT
C206.100;3;588.49;RT
C207.100;3;588.29;RT
C208.100;3;588.32;RT
R101.100;19;1650.80;H
R102.100;17;1486.12;RT
R103.100;13;1292.68;LLH
R104.100;9;1007.31;MBD
R105.100;14;1377.11;RT
R106.100;12;1252.03;MBD
R107.100;10;1104.66;S97
R108.100;9;960.88;BBB
R109.100;11;1194.73;HG
R110.100;10;1118.84;MBD
R111.100;10;1096.72;RGP
R112.100;9;982.14;GTA
R201.100;4;1252.37;HG
R202.100;3;1191.70;RGP
R203.100;3;939.50;WL
R204.100;2;825.52;BVH
R205.100;3;994.43;RGP
R206.100;3;906.14;SSSD
R207.100;2;890.61;RP
R208.100;2;726.82;MBD
R209.100;3;909.16;H
R210.100;3;939.37;MBD
R211.100;2;885.71;WL
RC101.100;14;1696.95;TBGGP
RC102.100;12;1554.75;TBGGP
RC103.100;11;1261.67;S98
RC104.100;10;1135.48;CLM
RC105.100;13;1629.44;BBB
RC106.100;11;1424.73;BBB
RC107.100;11;1230.48;S97
RC108.100;10;1139.82;TBGGP
RC201.100;4;1406.94;MBD
RC202.100;3;1365.65;GCC
RC203.100;3;1049.62;CC
RC204.100;3;798.46;MBD
RC205.100;4;1297.65;MBD
RC206.100;3;1146.32;H
RC207.100;3;1061.14;BVH
RC208.100;3;828.14;IKMUY
